date,ticker,action,price,qty,pnl,pnl_pct,days_held,hold_target,reason
2025-10-06,CHILE.SN,BUY,147.0,8171,0.0,0.0,0,10,V2 signal prob=50.00%
2025-10-06,PARAUCO.SN,BUY,2340.0,513,0.0,0.0,0,10,V2 signal prob=50.00%
2025-10-06,AGUAS-A.SN,BUY,352.303955078125,1705,0.0,0.0,0,10,V2 signal prob=50.00%
2025-10-13,MSFT,SELL,511.9212646484375,2732,11998.18896484375,0.008653138936551666,46,10,"Hold period expired (46d >= 10d), P&L=0.9%"
2025-10-13,CMPC.SN,SELL,1212.0999755859375,1448,-242974.470703125,-0.12160304794499643,10,10,"Hold period expired (10d >= 10d), P&L=-12.2%"
2025-10-13,NVDA,SELL,188.29933166503903,5330,3730.6584167478954,0.003731013686266748,10,10,"Hold period expired (10d >= 10d), P&L=0.4%"
2025-10-13,CCU.SN,BUY,5610.7333984375,282,0.0,0.0,0,10,V2 signal prob=50.00%
2025-10-13,ELECMETAL.SN,BUY,8662.6748046875,183,0.0,0.0,0,10,V2 signal prob=50.00%
2025-10-13,FORUS.SN,BUY,2208.159912109375,360,0.0,0.0,0,10,V2 signal prob=50.00%
2025-10-16,CHILE.SN,SELL,157.99000549316406,8171,89799.33488464355,0.07476194213036777,10,10,"Hold period expired (10d >= 10d), P&L=7.5%"
2025-10-16,PARAUCO.SN,SELL,2498.89990234375,513,81515.64990234375,0.06790594117254274,10,10,"Hold period expired (10d >= 10d), P&L=6.8%"
2025-10-16,CONCHATORO.SN,BUY,1019.9561767578124,1651,0.0,0.0,0,10,V2 signal prob=50.00%
2025-10-16,CGE.SN,BUY,279.9599914550781,3009,0.0,0.0,0,10,V2 signal prob=50.00%
2025-10-17,VOLCAN.SN,SELL,3160.615234375,336,-32854.6640625,-0.030009154532677516,17,10,"Hold period expired (17d >= 10d), P&L=-3.0%"
2025-10-17,AGUAS-A.SN,SELL,346.4158935546875,1705,-10039.144897460938,-0.016713015674580764,11,10,"Hold period expired (11d >= 10d), P&L=-1.7%"
2025-10-17,MSFT,BUY,511.4532165527344,2439,0.0,0.0,0,10,V2 signal prob=50.00%
2025-10-17,EMBONOR-B.SN,BUY,1346.3931884765625,463,0.0,0.0,0,10,V2 signal prob=50.00%
2025-10-20,INVERCAP.SN,SELL,1678.0999755859375,729,23400.882202148438,0.019501807767884266,14,10,"Hold period expired (14d >= 10d), P&L=2.0%"
2025-10-20,BSANTANDER.SN,BUY,66.44999694824219,13904,0.0,0.0,0,10,V2 signal prob=50.00%
2025-10-23,CCU.SN,SELL,5800.46630859375,282,53504.6806640625,0.0338160623010688,10,10,"Hold period expired (10d >= 10d), P&L=3.4%"
2025-10-23,CCU.SN,BUY,5800.46630859375,220,0.0,0.0,0,10,V2 signal prob=50.00%
2025-10-24,FORUS.SN,SELL,2180.556884765625,360,-9937.08984375,-0.012500465746333485,11,10,"Hold period expired (11d >= 10d), P&L=-1.3%"
2025-10-24,VOLCAN.SN,BUY,2964.064697265625,348,0.0,0.0,0,10,V2 signal prob=50.00%
2025-10-27,ELECMETAL.SN,SELL,8736.1328125,183,13442.8154296875,0.008479829783377161,14,10,"Hold period expired (14d >= 10d), P&L=0.8%"
2025-10-27,MSFT,SELL,529.3189697265625,2439,43574.5719909668,0.03493135363239238,10,10,"Hold period expired (10d >= 10d), P&L=3.5%"
2025-10-27,CMPC.SN,BUY,1310.0,1498,0.0,0.0,0,10,V2 signal prob=50.00%
2025-10-27,FORUS.SN,BUY,2180.556884765625,450,0.0,0.0,0,10,V2 signal prob=50.00%
2025-10-28,CGE.SN,SELL,279.9599914550781,3009,0.0,0.0,12,10,"Hold period expired (12d >= 10d), P&L=0.0%"
2025-10-28,BCI.SN,BUY,46900.0,19,0.0,0.0,0,10,V2 signal prob=50.00%
2025-11-03,BSANTANDER.SN,SELL,67.9000015258789,13904,20160.863647460938,0.021820987874026924,14,10,"Hold period expired (14d >= 10d), P&L=2.2%"
2025-11-03,BSANTANDER.SN,BUY,67.9000015258789,13833,0.0,0.0,0,10,V2 signal prob=50.00%
2025-11-06,EMBONOR-B.SN,SELL,1348.8541259765625,463,1139.4140625,0.001827800022357911,20,10,"Hold period expired (20d >= 10d), P&L=0.2%"
2025-11-06,CCU.SN,SELL,5725.51953125,220,-16488.291015625,-0.012920819354249453,14,10,"Hold period expired (14d >= 10d), P&L=-1.3%"
2025-11-06,CMPC.SN,SELL,1351.0999755859375,1498,61567.763427734375,0.03137402716483779,10,10,"Hold period expired (10d >= 10d), P&L=3.1%"
2025-11-06,FORUS.SN,SELL,2123.86083984375,450,-25513.22021484375,-0.026000718127547916,10,10,"Hold period expired (10d >= 10d), P&L=-2.6%"
2025-11-06,WATTS.SN,BUY,665.0,2181,0.0,0.0,0,10,V2 signal prob=50.00%
2025-11-06,SCHWAGER.SN,BUY,1.569135069847107,924661,0.0,0.0,0,10,V2 signal prob=50.00%
2025-11-06,FORUS.SN,BUY,2123.86083984375,683,0.0,0.0,0,10,V2 signal prob=50.00%
2025-11-06,ENELCHILE.SN,BUY,71.19929504394531,10191,0.0,0.0,0,10,V2 signal prob=50.00%
2025-11-07,BCI.SN,SELL,50793.0,19,73967.0,0.08300639658848614,10,10,"Hold period expired (10d >= 10d), P&L=8.3%"
2025-11-07,MSFT,BUY,494.7626037597656,1708,0.0,0.0,0,10,V2 signal prob=50.00%
2025-11-10,CONCHATORO.SN,SELL,1084.6363525390625,1651,106786.97021484394,0.06341466158561081,25,10,"Hold period expired (25d >= 10d), P&L=6.3%"
2025-11-10,VOLCAN.SN,SELL,3061.84619140625,348,34027.9599609375,0.032988987801389515,17,10,"Hold period expired (17d >= 10d), P&L=3.3%"
2025-11-10,VOLCAN.SN,BUY,3061.84619140625,604,0.0,0.0,0,10,V2 signal prob=50.00%
2025-11-10,BESALCO.SN,BUY,1232.1822509765625,751,0.0,0.0,0,10,V2 signal prob=50.00%
2025-11-14,BSANTANDER.SN,SELL,67.22000122070312,13833,-9406.444221496582,-0.010014731809933921,11,10,"Hold period expired (11d >= 10d), P&L=-1.0%"
2025-11-14,SQM-B.SN,BUY,50600.0,18,0.0,0.0,0,10,V2 signal prob=50.00%
2025-11-17,SCHWAGER.SN,SELL,1.767872333526611,924661,183764.596971154,0.12665401946492005,11,10,Take Profit +12.7%
2025-11-17,ENELCHILE.SN,SELL,72.95928192138672,10191,17936.02626800537,0.024719161564101373,11,10,"Hold period expired (11d >= 10d), P&L=2.5%"
2025-11-17,MASISA.SN,BUY,16.299999237060547,101977,0.0,0.0,0,10,V2 signal prob=50.00%
2025-11-17,LTM.SN,BUY,20.84940528869629,39862,0.0,0.0,0,10,V2 signal prob=50.00%
2025-11-19,SQM-B.SN,SELL,58104.0,18,135072.0,0.148300395256917,5,10,Take Profit +14.8%
2025-11-19,ANDINA-B.SN,BUY,4178.2587890625,224,0.0,0.0,0,10,V2 signal prob=50.00%
2025-11-21,VOLCAN.SN,SELL,3210.0,604,89484.900390625,0.04838708391348217,11,10,"Hold period expired (11d >= 10d), P&L=4.8%"
2025-11-21,PARAUCO.SN,BUY,2761.0,521,0.0,0.0,0,10,V2 signal prob=50.00%
2025-11-24,FORUS.SN,SELL,2170.0,683,31513.04638671875,0.021724191759966913,18,10,"Hold period expired (18d >= 10d), P&L=2.2%"
2025-11-24,CCU.SN,BUY,6049.0,241,0.0,0.0,0,10,V2 signal prob=50.00%
2025-11-25,BESALCO.SN,SELL,1214.800048828125,751,-13054.033813476562,-0.014106843476004695,15,10,"Hold period expired (15d >= 10d), P&L=-1.4%"
2025-11-25,HABITAT.SN,BUY,1400.4127197265625,849,0.0,0.0,0,10,V2 signal prob=50.00%
2025-11-26,WATTS.SN,SELL,665.2000122070312,2181,436.22662353515625,0.000300770236137218,20,10,"Hold period expired (20d >= 10d), P&L=0.0%"
2025-11-26,PAZ.SN,BUY,842.4500122070312,1566,0.0,0.0,0,10,V2 signal prob=50.00%
2025-11-27,LTM.SN,SELL,22.52935791015625,39862,66966.27139663696,0.08057556549925977,10,10,"Hold period expired (10d >= 10d), P&L=8.1%"
2025-11-27,COLBUN.SN,BUY,142.99559020996094,7757,0.0,0.0,0,10,V2 signal prob=50.00%
2025-12-01,ANDINA-B.SN,SELL,4169.30517578125,224,-2005.609375,-0.002142905390323842,12,10,"Hold period expired (12d >= 10d), P&L=-0.2%"
2025-12-01,AAPL,BUY,282.8353576660156,3612,0.0,0.0,0,10,V2 signal prob=50.00%
2025-12-02,MASISA.SN,SELL,16.969999313354492,101977,68324.59778022766,0.04110430108306983,15,10,"Hold period expired (15d >= 10d), P&L=4.1%"
2025-12-02,CAP.SN,BUY,6640.0,207,0.0,0.0,0,10,V2 signal prob=50.00%
2025-12-03,PARAUCO.SN,SELL,3100.0,521,176619.0,0.12278160086925027,12,10,Take Profit +12.3%
2025-12-03,ENELAM.SN,BUY,88.80903625488281,16850,0.0,0.0,0,10,V2 signal prob=50.00%
2025-12-05,CCU.SN,SELL,6100.0,241,12291.0,0.008431145643908084,11,10,"Hold period expired (11d >= 10d), P&L=0.8%"
2025-12-05,HABITAT.SN,SELL,1502.4654541015625,849,86642.771484375,0.07287332722522422,10,10,"Hold period expired (10d >= 10d), P&L=7.3%"
2025-12-05,CONCHATORO.SN,BUY,1030.5040283203125,2058,0.0,0.0,0,10,V2 signal prob=50.00%
2025-12-05,SALFACORP.SN,BUY,1137.5,932,0.0,0.0,0,10,V2 signal prob=50.00%
2025-12-09,COLBUN.SN,SELL,140.89999389648438,7757,-16255.540603637695,-0.014654971600170263,12,10,"Hold period expired (12d >= 10d), P&L=-1.5%"
2025-12-09,PARAUCO.SN,BUY,3098.0,347,0.0,0.0,0,10,V2 signal prob=50.00%
2025-12-11,AAPL,SELL,277.77008056640625,3612,-18295.780883789062,-0.017908924617517856,10,10,"Hold period expired (10d >= 10d), P&L=-1.8%"
2025-12-11,LTM.SN,BUY,24.409303665161133,42659,0.0,0.0,0,10,V2 signal prob=50.00%
2025-12-15,CONCHATORO.SN,SELL,1042.843017578125,2058,25393.639892578125,0.011973741895919267,10,10,"Hold period expired (10d >= 10d), P&L=1.2%"
2025-12-15,EMBONOR-B.SN,BUY,1455.0,1095,0.0,0.0,0,10,V2 signal prob=50.00%
2025-12-17,ENELAM.SN,SELL,85.799072265625,16850,-50717.89321899414,-0.0338925419775887,14,10,"Hold period expired (14d >= 10d), P&L=-3.4%"
2025-12-17,SALFACORP.SN,SELL,1193.0,932,51726.0,0.04879120879120879,12,10,"Hold period expired (12d >= 10d), P&L=4.9%"
2025-12-17,PARAUCO.SN,SELL,2848.89990234375,347,-86437.73388671875,-0.08040674553139122,8,10,Trailing stop -8.0% from peak after 8d
2025-12-17,COLBUN.SN,BUY,140.0,12239,0.0,0.0,0,10,V2 signal prob=50.00%
2025-12-17,SONDA.SN,BUY,348.1400146484375,4921,0.0,0.0,0,10,V2 signal prob=50.00%
2025-12-17,MOLYMET.SN,BUY,6200.0,138,0.0,0.0,0,10,V2 signal prob=50.00%
2025-12-24,PAZ.SN,SELL,825.760009765625,1566,-26136.543823242188,-0.01981126737440737,28,10,"Hold period expired (28d >= 10d), P&L=-2.0%"
2025-12-24,LTM.SN,SELL,24.450000762939453,42659,1736.0974941253662,0.0016672781139761227,13,10,"Hold period expired (13d >= 10d), P&L=0.2%"
2025-12-24,WATTS.SN,BUY,660.0,2419,0.0,0.0,0,10,V2 signal prob=50.00%
2025-12-24,AAPL,BUY,273.55401611328125,2920,0.0,0.0,0,10,V2 signal prob=50.00%
